outcome,weight_class,f1_name,f2_name,winner,loser,method,method_details,end_round,time,total_time
win,Bantamweight,jerrod sanders,russell doane,jerrod sanders,russell doane,U-DEC,,3,5:00,900.0
win,Middleweight,trevor smith,dan miller,trevor smith,dan miller,U-DEC,,3,5:00,900.0
win,Welterweight,george sullivan,dominic waters,george sullivan,dominic waters,U-DEC,,3,5:00,900.0
win,Flyweight,willie gates,darrell montague,willie gates,darrell montague,KO/TKO,Punches,1,1:36,96.0
win,Women's Bantamweight,elizabeth phillips,jessamyn duke,elizabeth phillips,jessamyn duke,U-DEC,,3,5:00,900.0
win,Middleweight,zak cummings,dominique steele,zak cummings,dominique steele,KO/TKO,Punches,1,0:43,43.0
win,Middleweight,michael bisping,thales leites,michael bisping,thales leites,S-DEC,,5,5:00,1500.0
win,Lightweight,evan dunham,ross pearson,evan dunham,ross pearson,U-DEC,,3,5:00,900.0
win,Lightweight,joe duffy,ivan jorge,joe duffy,ivan jorge,SUB,Triangle Choke,1,3:05,185.0
win,Women's Strawweight,joanne wood,cortney casey,joanne wood,cortney casey,U-DEC,,3,5:00,900.0
win,Welterweight,leon edwards,pawel pawlak,leon edwards,pawel pawlak,U-DEC,,3,5:00,900.0
win,Lightweight,stevie ray,leonardo mafra,stevie ray,leonardo mafra,KO/TKO,Punches,1,2:30,150.0
win,Flyweight,paddy holohan,vaughan lee,paddy holohan,vaughan lee,U-DEC,,3,5:00,900.0
win,Light Heavyweight,ilir latifi,hans stringer,ilir latifi,hans stringer,KO/TKO,Punch,1,0:56,56.0
win,Lightweight,mickael lebout,teemu packalen,mickael lebout,teemu packalen,U-DEC,,3,5:00,900.0
win,Featherweight,robert whiteford,paul redmond,robert whiteford,paul redmond,KO/TKO,Punch,1,3:04,184.0
win,Bantamweight,jimmie rivera,marcus brimage,jimmie rivera,marcus brimage,KO/TKO,Punches,1,1:29,89.0
win,Heavyweight,daniel omielanczuk,chris de la rocha,daniel omielanczuk,chris de la rocha,KO/TKO,Punch,1,0:48,48.0
win,Heavyweight,frank mir,todd duffee,frank mir,todd duffee,KO/TKO,Punch,1,1:13,73.0
win,Lightweight,tony ferguson,josh thomson,tony ferguson,josh thomson,U-DEC,,3,5:00,900.0
win,Women's Bantamweight,holly holm,marion reneau,holly holm,marion reneau,U-DEC,,3,5:00,900.0
win,Bantamweight,manvel gamburyan,scott jorgensen,manvel gamburyan,scott jorgensen,U-DEC,,3,5:00,900.0
win,Lightweight,kevin lee,james moontasri,kevin lee,james moontasri,SUB,Rear Naked Choke,1,2:56,176.0
win,Welterweight,alan jouban,matt dwyer,alan jouban,matt dwyer,U-DEC,,3,5:00,900.0
win,Featherweight,sam sicilia,yaotzin meza,sam sicilia,yaotzin meza,U-DEC,,3,5:00,900.0
win,Women's Bantamweight,jessica andrade,sarah moras,jessica andrade,sarah moras,U-DEC,,3,5:00,900.0
win,Bantamweight,rani yahya,masanori kanehara,rani yahya,masanori kanehara,S-DEC,,3,5:00,900.0
win,Welterweight,sean strickland,igor araujo,sean strickland,igor araujo,U-DEC,,3,5:00,900.0
win,Middleweight,kevin casey,ildemar alcantara,kevin casey,ildemar alcantara,U-DEC,,3,5:00,900.0
win,Welterweight,lyman good,andrew craig,lyman good,andrew craig,KO/TKO,Punch,2,3:37,517.0
win,Flyweight,demetrious johnson,john dodson,demetrious johnson,john dodson,U-DEC,,5,5:00,1500.0
win,Heavyweight,andrei arlovski,frank mir,andrei arlovski,frank mir,U-DEC,,3,5:00,900.0
win,Light Heavyweight,anthony johnson,jimi manuwa,anthony johnson,jimi manuwa,KO/TKO,Punch,2,0:28,328.0
win,Light Heavyweight,corey anderson,jan blachowicz,corey anderson,jan blachowicz,U-DEC,,3,5:00,900.0
win,Women's Strawweight,paige vanzant,alex chambers,paige vanzant,alex chambers,SUB,Armbar,3,1:01,661.0
win,Lightweight,ross pearson,paul felder,ross pearson,paul felder,S-DEC,,3,5:00,900.0
